Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,5,9,3313543896,[rs][de],[rs][de],5,26,3592,0,837,31644,false
aman-aplan,5,10,8657690939,[k-x][a-o].$,[k-x][a-o].$,13,34,16898,0,1646,20520,false
aman-aplan,5,11,9696640194,^[h-t][a-o],^[h-t][a-o],10,31,41320,0,2693,19459,false
warmup,5,12,6621545651,foo,foo,21,42,166105,0,16948,539188,true
aman-aplan,5,12,6621545651,^[h-t][a-o],^[h-t][a-o],10,31,21715,0,5531,35754,false
warmup,5,13,2492462788,foo,foo,21,42,259924,0,38389,83213,true
warmup,5,14,3404588599,foo,foo,21,42,314240,0,24208,39966,false
warmup,5,15,2330977742,foo,foo,21,42,1022,0,535,84180,true
warmup,5,16,6361187489,foo,foo,21,42,328008,0,32815,59060,false
warmup,5,17,2805026820,foo,foo,21,42,3749,0,865,31273,false
warmup,5,18,4323456912,foo,foo,21,42,78127,0,16251,40216,false
warmup,5,19,8361101999,foo,foo,21,42,2400,0,730,233342,true
warmup,5,20,9935136846,foo,foo,21,42,360691,0,21705,45933,false
warmup,5,21,5217407358,foo,foo,21,42,250548,0,14821,35214,false
warmup,5,22,5619256299,foo,foo,21,42,216522,0,27838,56670,false
warmup,5,23,4560422870,foo,foo,21,42,310185,0,41244,82987,true
aman-aplan,5,13,2492462788,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1142,803720,true
warmup,5,24,5236888092,foo,foo,21,42,4157,0,913,23651,false
aman-aplan,5,14,3404588599,[kl][k-o][a-o],[kl][k-o][a-o],4,25,4853,0,1035,27124,false
warmup,5,25,1337360711,foo,foo,21,42,295357,0,73295,96009,true
warmup,5,26,7659837985,foo,foo,21,42,461709,0,39700,48119,false
warmup,5,27,2521100877,foo,foo,21,42,177264,0,10308,327038,true
aman-aplan,5,15,2330977742,a[h-k],a[h-k],2,23,281,0,56,768506,true
warmup,5,28,8801535107,foo,foo,21,42,66276,0,22619,747720,true
warmup,5,29,9651599436,foo,foo,21,42,251698,0,47189,87804,true
anchors,5,1,2967301147,k$,k$,21,42,2151,0,709,19090,false
anchors,5,1,5600405384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37309,false
anchors,5,2,1632819610,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19629,false
anchors,5,3,1412034944,[st][d-l][b-r],[st][d-l][b-r],9,30,22016,0,10837,28510,false
anchors,5,4,9724161943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18792,false
anchors,5,5,4037724866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16899,false
anchors,5,6,8370032799,^uR|k$,^uR|k$,21,42,3194,0,808,18844,false
anchors,5,7,2767986875,[st][d-l][b-r],[st][d-l][b-r],9,30,11626,0,1455,27945,false
aman-aplan,5,16,6361187489,^[h-t][a-o],^[h-t][a-o],10,31,49590,0,22730,721288,true
anchors,5,8,3141506592,^.[M-e],^.[M-e],9,30,10561,0,1536,20184,false
aman-aplan,5,17,2805026820,[cd]$,[cd]$,3,24,4158,0,1020,30508,false
anchors,5,9,3313543896,c[kl]$,c[kl]$,21,42,15115,0,1767,20257,false
anchors,5,10,8657690939,[ijk]$,[ijk]$,21,42,7654,0,1113,20288,false
aman-aplan,5,18,4323456912,^[h-t][a-o],^[h-t][a-o],10,31,74615,0,5835,32425,false
anchors,5,11,9696640194,g^|[ijk]$,g^|[ijk]$,21,42,20777,0,2070,19598,false
aman-aplan,5,19,8361101999,^[h-t][a-o],^[h-t][a-o],10,31,27356,0,2299,20419,false
anchors,5,12,6621545651,k$,k$,21,42,6888,0,1151,34611,false
aman-aplan,5,20,9935136846,^[h-t][a-o],^[h-t][a-o],10,31,6138,0,1060,32754,false
aman-aplan,5,21,5217407358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19750,false
anchors,5,13,2492462788,k$,k$,21,42,18212,0,2090,39046,false
anchors,5,14,3404588599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18774,false
anchors,5,15,2330977742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19027,false
anchors,5,16,6361187489,[M-e][ab],[M-e][ab],5,26,1765,0,646,19468,false
anchors,5,17,2805026820,[st][d-l][b-r],[st][d-l][b-r],9,30,11624,0,1428,27713,false
anchors,5,18,4323456912,[st][d-l][b-r],[st][d-l][b-r],9,30,21538,0,2083,20258,false
anchors,5,19,8361101999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18756,false
anchors,5,20,9935136846,k$,k$,21,42,5,0,23,20553,false
anchors,5,21,5217407358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19239,false
anchors,5,22,5619256299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19229,false
anchors,5,23,4560422870,[st][d-l][b-r],[st][d-l][b-r],9,30,12140,0,1424,19516,false
anchors,5,24,5236888092,[st][d-l][b-r],[st][d-l][b-r],9,30,12669,0,1490,26805,false
anchors,5,25,1337360711,k$,k$,21,42,12619,0,1584,28880,false
anchors,5,26,7659837985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18456,false
anchors,5,27,2521100877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18935,false
anchors,5,28,8801535107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18880,false
anchors,5,29,9651599436,[ijk]\b,[ijk]\b,21,42,39080,0,3279,21480,false
aman-aplan,5,22,5619256299,^[h-t][a-o],^[h-t][a-o],10,31,10619,0,1393,716012,true
aman-aplan,5,23,4560422870,[cd]$,[cd]$,3,24,4586,0,988,33505,false
aman-aplan,5,24,5236888092,[rs][de],[rs][de],5,26,4904,0,1198,32368,false
aman-aplan,5,25,1337360711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18984,false
aman-aplan,5,26,7659837985,[d-i][bcd],[d-i][bcd],4,25,2372,0,815,20902,false
aman-aplan,5,27,2521100877,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1233,21511,false
aman-aplan,5,28,8801535107,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1299,21431,false
ranges,5,1,2967301147,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,18870,0,3075,804583,true
aman-aplan,5,29,9651599436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,818217,true
prime,5,1,2967301147,^xx?x$,^xx?x$,2,23,121090,0,32395,173234,true
ranges,5,1,5600405384,\b[a-f]+$,\b[a-f]+$,21,42,10716,0,1971,825519,true
prime,5,1,5600405384,^xx?x$,^x{0}x?x$,2,23,107340,0,28915,158744,true
ranges,5,2,1632819610,d,d,13,34,457,0,524,55017,false
ranges,5,3,1412034944,.*[a-e][^ic][b-f],.*[a-e][^c-i][b-f],21,42,13165,0,6772,68422,true
prime,5,2,1632819610,^x?xx$,{0}^x?xx$,2,23,80539,0,21509,153078,true
ranges,5,4,9724161943,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,7823,0,3341,57027,false
prime,5,3,1412034944,^x?xx$,{0}^x?xx$,2,23,124931,0,32982,157004,true
prime,5,4,9724161943,^xx?x$,^xx?x$,2,23,206045,0,54228,158684,true
prime,5,5,4037724866,^x?xx$,{0}^x?xx$,2,23,271617,0,68251,153573,true
prime,5,6,8370032799,^xxx?$,^xxx?$,2,23,225,0,527,161756,true
prime,5,7,2767986875,^x?xx$,^x?xx$,2,23,408753,0,105953,155605,true
ranges,5,5,4037724866,^[a-f].[^r][a-f],^[a-f].[^r][a-f],21,42,33151,0,7632,807031,true
prime,5,8,3141506592,^x?xx$,^x?xx$,2,23,224125,0,65302,146034,true
prime,5,9,3313543896,^xx?x$,^xx?{0}x$,2,23,117498,0,36903,166041,true
prime,5,10,8657690939,^xx?x$,^xx?x$,2,23,440504,0,118150,161657,true
prime,5,11,9696640194,^x?xx$,^x?xx$,2,23,331090,0,87990,156682,true
prime,5,12,6621545651,^x?xx$,^x?xx$,2,23,117,0,461,154332,true
ranges,5,6,8370032799,[a-e][^ic][b-f],[a-e][^c-i][b-f],21,42,5297,0,1393,805824,true
prime,5,13,2492462788,^x?xx$,^x?xx$,2,23,117,0,458,157418,true
prime,5,14,3404588599,^x?xx$,^x?xx$,2,23,260088,0,67845,159717,true
prime,5,15,2330977742,^x?xx$,^x?xx$,2,23,560218,0,139242,149417,true
ranges,5,7,2767986875,d*\b[a-f]+$,d*\b[a-f]+$,21,42,38641,0,12766,566305,true
prime,5,16,6361187489,^xx?.$,^xx?.$,2,23,64983,0,17442,550472,true
prime,5,17,2805026820,^x?xx$,^x?xx$,2,23,444403,0,110561,150067,true
prime,5,18,4323456912,^x?.x$,{0}^x?.x$,2,23,511826,0,136652,161650,true
ranges,5,8,3141506592,[a-e][^ic][b-f],[a-e][^c-i][b-f],21,42,9015,0,1888,836115,true
prime,5,19,8361101999,^x.x?$,^x.x?$,2,23,238928,0,62144,154366,true
ranges,5,9,3313543896,\b[a-f]+$,\b[a-f]+$,21,42,86597,0,28000,79859,true
ranges,5,10,8657690939,^[a-f]+\b|$a,^[a-f]+\b|$a,21,42,44336,0,7727,88229,true
prime,5,20,9935136846,^x?xx$,^x?xx$,2,23,109375,0,26697,155841,true
prime,5,21,5217407358,^x?xx$,^x?xx$,2,23,225637,0,62183,168354,true
prime,5,22,5619256299,^x?xx$,{0}^x?xx$,2,23,288400,0,73009,153091,true
prime,5,23,4560422870,^xxx?$,^xxx?$,2,23,848,0,760,154602,true
ranges,5,11,9696640194,^[a-f]+$,^[a-f]+$,21,42,44673,0,7717,566782,true
prime,5,24,5236888092,^x?xx$,{0}^x?xx$,2,23,116044,0,30290,155385,true
prime,5,25,1337360711,^x?xx$,^x?xx$,2,23,502488,0,127895,151281,true
prime,5,26,7659837985,^x?xx$,^x?xx$,2,23,213605,0,54290,154515,true
ranges,5,12,6621545651,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,60848,0,15746,746971,true
ranges,5,13,2492462788,b*^[a-f]+$,b*^[a-f]+$,21,42,6524,1,3339,70272,true
prime,5,27,2521100877,^x?xx$,^x?xx$,2,23,117,0,480,592355,true
prime,5,28,8801535107,^x?xx$,^x?xx$,2,23,41590,0,13060,162296,true
prime,5,29,9651599436,^xx?x$,^xx?x$,2,23,328202,0,85436,152289,true
four,5,1,2967301147,[no][f-r]*[mno],[no][f-r]*[mno],15,36,365717,0,79984,122480,true
four,5,1,5600405384,^[W-j][M-l]|[M-p]o,^[W-j][M-l]|[M-p]o,15,36,123739,0,7280,34472,false
ranges,5,14,3404588599,[b-f][ea][b-f],[b-f][a-e][b-f],21,42,10337,0,1981,852921,true
ranges,5,15,2330977742,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,137128,0,67699,116384,true
four,5,2,1632819610,v*[M-o].[M-o][d-v][de]?...$,v*[M-o].[M-o][d-v][de]?...$,20,41,179040,0,141592,416201,true
four,5,3,1412034944,[f-o][M-p][n-r],[f-o][M-p][n-r],16,37,273215,0,17682,30046,false
four,5,4,9724161943,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,157462,0,12744,30108,false
four,5,5,4037724866,^[c-l],^[c-l],8,29,12667,0,1490,23089,false
four,5,6,8370032799,^[^T][M-s]+[f-v][M-r][f-o],^[^T][M-s]+[f-v][M-r][f-o],17,38,124346,0,81019,104100,true
four,5,7,2767986875,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,38125,0,2989,26416,false
ranges,5,16,6361187489,[a-e][^ci][b-f],[a-e]{0}[^c-i][b-f],21,42,7007,0,1742,825641,true
four,5,8,3141506592,^[^Tnba][M-s][b-s],^[^Tnba][M-s][b-s],14,35,38800,0,3200,578787,true
four,5,9,3313543896,[no][c-p][n-r]|[an]$,[no][c-p][n-r]|[a-n]$,18,39,362774,0,23370,38057,false
four,5,10,8657690939,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,18139,0,1751,24055,false
four,5,11,9696640194,[f-u][M-p]o,[f-u][M-p]o,14,35,161484,0,13323,26947,false
four,5,12,6621545651,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,17559,0,1822,44512,false
four,5,13,2492462788,^[W-j][M-l]|[no][f-r][m-r],^[W-j][M-l]|[no][f-r][m-r],18,39,493897,0,150180,156725,true
four,5,14,3404588599,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,332812,0,27494,73037,true
four,5,15,2330977742,b*[M-o].[M-o][d-v][de]?...$,b*[M-o].[M-o][d-v][de]?...$,20,41,373666,1,151108,184249,true
four,5,16,6361187489,[o-u][^u][j-p][j-y]|^[W-j][M-l],[o-u][^u][j-p][j-y]|^[W-j][M-l],18,39,523285,0,132629,138518,true
ranges,5,17,2805026820,[a-e][^ic][b-f],[a-e][^c-i][b-f],21,42,3521,0,1082,809902,true
four,5,17,2805026820,T*.[M-o]..[d-v]...$,T*.[M-o]..[d-v]...$,20,41,269667,0,228449,263800,true
four,5,18,4323456912,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,12138,0,1490,22893,false
four,5,19,8361101999,[M-p]o,[M-p]o,12,33,3351,0,808,22091,false
four,5,20,9935136846,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,97825,0,8192,216395,true
four,5,21,5217407358,[^][no].[n-r]|a$,[^][no].[n-r]|a$,17,38,86216,0,5309,58453,false
four,5,22,5619256299,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,57610,0,4005,29080,false
four,5,23,4560422870,[f-y][de]?..[^wed]$,[f-y][de]?..[^wed]$,14,35,69703,0,5982,30040,false
four,5,24,5236888092,[i-o][f-r][m-r],[i-o][f-r][m-r],15,36,18783,0,2020,60107,true
ranges,5,18,4323456912,[a-f]{2}.[^m]$,[a-f]{2}.[^m]$,21,42,119790,0,24606,710654,true
ranges,5,19,8361101999,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,20842,0,3043,85241,true
ranges,5,20,9935136846,^[a-f]+$,^[a-f]+$,21,42,49767,0,11569,65685,true
four,5,25,1337360711,[noi][b-p][n-r],[i-o][b-p][n-r],16,37,24607,0,2481,631504,true
four,5,26,7659837985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22584,false
four,5,27,2521100877,si|.[b-p][no].[e-r],si|.[b-p][no].[e-r],18,39,198940,0,18548,51213,false
four,5,28,8801535107,[f-y][de]?..[^wed]$,[f-y][de]?..[^wed]$,14,35,59160,0,5361,30550,false
four,5,29,9651599436,[f-o][M-p][n-r],[f-o][M-p][n-r],16,37,229273,0,13529,50398,false
order,5,1,2967301147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20154,false
order,5,1,5600405384,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,56441,1,5820,42320,false
order,5,2,1632819610,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,14019,0,3200,44004,false
order,5,3,1412034944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20382,false
order,5,4,9724161943,[f-t]{2}[n-z]$,[f-t]{2}[n-z]$,18,39,12979,0,1614,22770,false
order,5,5,4037724866,\b[a-m][b-o]+[e-t],\b[a-m][b-o]+[e-t],20,41,14905,0,4146,39451,false
order,5,6,8370032799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20247,false
order,5,7,2767986875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19961,false
ranges,5,21,5217407358,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,23735,0,4168,856627,true
order,5,8,3141506592,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,32629,1,5169,98910,true
order,5,9,3313543896,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,10920,0,3090,136993,true
order,5,10,8657690939,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,10801,0,3080,43011,false
order,5,11,9696640194,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,10496,0,3097,31251,false
order,5,12,6621545651,[b-g][c-o][f-t][f-w],[b-g][c-o][f-t][f-w],17,38,8549,0,1356,20894,false
order,5,13,2492462788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20394,false
order,5,14,3404588599,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,34264,1,2924,64869,true
order,5,15,2330977742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20218,false
order,5,16,6361187489,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19956,false
order,5,17,2805026820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20173,false
order,5,18,4323456912,[f-t][f-t][n-z]$,{0}[f-t][f-t][n-z]$,18,39,70600,0,36103,56433,false
order,5,19,8361101999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19674,false
ranges,5,22,5619256299,[b-f][ea][b-f],{0}[b-f][a-e][b-f],21,42,213942,0,47341,553280,true
order,5,20,9935136846,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,11756,1,3279,37051,false
order,5,21,5217407358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19837,false
ranges,5,23,4560422870,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,10243,0,1969,55014,false
order,5,22,5619256299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21077,false
order,5,23,4560422870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22081,false
order,5,24,5236888092,^[a-m][b-o]+[e-t],^[a-m][b-o]+[e-t],20,41,12238,0,3377,44499,false
ranges,5,24,5236888092,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,188302,0,44669,99703,true
order,5,25,1337360711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20746,false
order,5,26,7659837985,[b-g][e-o][f-t][f-y],[b-g][e-o][f-t][f-y],16,37,3408,0,1036,22121,false
order,5,27,2521100877,^r*[a-m][c-o]+[e-t],^r*[a-m][c-o]+[e-t],20,41,44511,0,22478,53856,false
order,5,28,8801535107,[f-t][f-t][n-z]$,[f-t][f-t][n-z]$,18,39,12643,0,1574,20390,false
order,5,29,9651599436,[s-z]$,[s-z]$,14,35,19097,0,2118,21734,false
triples,5,1,2967301147,.5[1-7][0-8],.5[1-7][0-8],7,28,5604,0,2469,40817,false
ranges,5,25,1337360711,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,31613,0,4888,833281,true
triples,5,1,5600405384,5[1-7][0-8],5[1-7][0-8],6,27,1103,0,598,731279,true
triples,5,2,1632819610,5[1-7][0-8],5[1-7][0-8],6,27,1575,0,659,725719,true
triples,5,3,1412034944,[2-9][456][345],[2-9][456][345],8,29,9209,0,4273,46394,false
ranges,5,26,7659837985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,855786,true
triples,5,4,9724161943,^..[0-8][2-7][1-8],^..[0-8][2-7][1-8],10,31,4752,0,1123,42749,false
ranges,5,27,2521100877,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,40340,0,5376,53794,false
triples,5,5,4037724866,[0-8][0-7][0-6]$,[0-8][0-7][0-6]$,7,28,2851,0,901,37600,false
triples,5,6,8370032799,^40|[3-6][46]|[0-8][0-7][2-6]$,^40|[3-6][46]|[0-8][0-7][2-6]$,12,33,39820,0,5241,65808,true
triples,5,7,2767986875,.[45][3-8][0-6],.[45][3-8][0-6],7,28,4745,0,1261,43763,false
triples,5,8,3141506592,[0-8][0-7][0-6]$,[0-8][0-7][0-6]$,7,28,5926,0,1267,38058,false
triples,5,9,3313543896,[567][0-8]*$,[567][0-8]*$,7,28,3019,1,2065,41631,false
triples,5,10,8657690939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40360,false
triples,5,11,9696640194,[1-8][45][1-8][0-6],[1-8][45][1-8][0-6],9,30,10295,0,2787,44523,false
ranges,5,28,8801535107,^[a-f].[^r][a-f],^[a-f].[^r][a-f],21,42,46706,0,10043,819054,true
ranges,5,29,9651599436,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,25260,0,13975,63592,true
backrefs,5,1,2967301147,[^gr][tuvmg][d-y][d-s],[^g-r][g-v][d-y][d-s],16,37,112755,0,15822,162057,true
triples,5,12,6621545651,[0-8][0-7][0-6]$,[0-8][0-7][0-6]$,7,28,3739,0,1033,794917,true
triples,5,13,2492462788,[4-7][34][0-7],[4-7][34][0-7],6,27,1370,0,662,45595,false
triples,5,14,3404588599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45905,false
triples,5,15,2330977742,3.[0-7][0-7],3.[0-7][0-7],6,27,653,0,525,37418,false
triples,5,16,6361187489,[4-7][34][0-7],[4-7][34][0-7],6,27,699,0,560,74627,true
triples,5,17,2805026820,[4-7][34][0-7],[4-7][34][0-7],6,27,1370,0,670,46395,false
triples,5,18,4323456912,[1-7][45][1-8][2-6]|[67]$,[1-7][45][1-8][2-6]|[67]$,10,31,13669,0,2133,41298,false
backrefs,5,1,5600405384,[e-t][e-o][l-u][b-t],[e-t][e-o][l-u][b-t],10,31,14690,0,1720,898957,true
backrefs,5,2,1632819610,[tuv][d-y][d-s],[tuv][d-y][d-s],10,31,9810,0,1282,31020,false
backrefs,5,3,1412034944,[^gr][tuv][d-y][d-s],[^g-r][tuv][d-y][d-s],13,34,55479,0,4258,35269,false
backrefs,5,4,9724161943,[tu][d-u][d-s],[tu][d-u][d-s],9,30,4856,0,959,30496,false
triples,5,19,8361101999,3.[0-7]{2},3.[0-7]{2},6,27,4550,0,1175,772020,true
triples,5,20,9935136846,7.?.?$,7.?.?$,6,27,2378,0,795,51550,false
triples,5,21,5217407358,3.[0-7][0-7],3.[0-7][0-7],6,27,1921,0,797,38959,false
triples,5,22,5619256299,[2-9][456][345],[2-9][456][345],8,29,2145,0,859,40989,false
triples,5,23,4560422870,[45].+7|[01]0[0-6],[45].+7|[01]0[0-6],10,31,10253,0,11473,52945,false
triples,5,24,5236888092,0[012],0[012],5,26,1067,0,655,28079,false
triples,5,25,1337360711,[0-8][0-7][0-6]$,[0-8][0-7][0-6]$,7,28,2455,0,860,38746,false
backrefs,5,5,4037724866,[^gr][tuv][d-y][d-s],[^g-r][tuv][d-y][d-s],13,34,36711,0,2910,711913,true
triples,5,26,7659837985,^[2-7][01]|[0-8][0-7][0-6]$,^[2-7][01]|[0-8][0-7][0-6]$,10,31,13979,0,2039,815898,true
triples,5,27,2521100877,^..[0-8][2-7][1-8],^..[0-8][2-7][1-8],10,31,5891,0,1307,40335,false
triples,5,28,8801535107,5[1-7][0-8],5[1-7][0-8],6,27,1624,0,702,52225,false
triples,5,29,9651599436,[45]4|[0-8][0-7][0-6]$,[45]4|[0-8][0-7][0-6]$,10,31,17790,0,2869,45810,false
backrefs,5,6,8370032799,[b-u][e-u][l-u][e-h],[b-u][e-u][l-u][e-h],12,33,19494,0,2059,738193,true
backrefs,5,7,2767986875,[l-u][e-h],[l-u][e-h],9,30,6447,0,1113,16388,false
